,Subjs,Block,Trial,Cond,Tap,P1,P2,Asyns_c,Asyns_p1,Asyns_p2,Peak_interval,Effector,Period
0,1,0,0,M2,1,2.0,22.0,-128.0,-126.0,-106.0,20.0,M,666
1,1,0,0,M2,2,2.0,22.0,-183.0,-181.0,-161.0,20.0,M,666
2,1,0,0,M2,3,2.0,21.0,-89.0,-87.0,-68.0,19.0,M,666
3,1,0,0,M2,4,2.0,22.0,-121.0,-119.0,-99.0,20.0,M,666
4,1,0,0,M2,5,2.0,20.0,-73.0,-71.0,-53.0,18.0,M,666
5,1,0,0,M2,6,3.0,21.0,-52.0,-49.0,-31.0,18.0,M,666
6,1,0,0,M2,7,3.0,23.0,-6.0,-3.0,17.0,20.0,M,666
7,1,0,0,M2,8,2.0,23.0,-21.0,-19.0,2.0,21.0,M,666
8,1,0,0,M2,9,2.0,22.0,-22.0,-20.0,0.0,20.0,M,666
9,1,0,0,M2,10,3.0,23.0,-19.0,-16.0,4.0,20.0,M,666
10,1,0,0,M2,11,3.0,20.0,-5.0,-2.0,15.0,17.0,M,666
11,1,0,1,M1,3,2.0,21.0,-3.0,-1.0,18.0,19.0,M,444
12,1,0,2,M1,0,3.0,22.0,-25.0,-22.0,-3.0,19.0,M,444
13,1,0,2,M1,1,3.0,18.0,-25.0,-22.0,-7.0,15.0,M,444
14,1,0,2,M1,2,3.0,19.0,-12.0,-9.0,7.0,16.0,M,444
15,1,0,2,M1,3,3.0,19.0,-21.0,-18.0,-2.0,16.0,M,444
16,1,0,2,M1,4,3.0,19.0,8.0,11.0,27.0,16.0,M,444
17,1,0,2,M1,5,3.0,21.0,6.0,9.0,27.0,18.0,M,444
18,1,0,2,M1,6,2.0,19.0,-19.0,-17.0,0.0,17.0,M,444
19,1,0,2,M1,7,3.0,20.0,-27.0,-24.0,-7.0,17.0,M,444
20,1,0,2,M1,8,3.0,21.0,-68.0,-65.0,-47.0,18.0,M,444
21,1,0,5,M1,1,3.0,20.0,-8.0,-5.0,12.0,17.0,M,444
22,1,0,5,M1,2,3.0,23.0,-22.0,-19.0,1.0,20.0,M,444
23,1,0,5,M1,3,3.0,20.0,-8.0,-5.0,12.0,17.0,M,444
24,1,0,5,M1,4,3.0,21.0,-19.0,-16.0,2.0,18.0,M,444
25,1,0,8,M2,1,3.0,17.0,-53.0,-50.0,-36.0,14.0,M,666
26,1,0,8,M2,2,3.0,22.0,-12.0,-9.0,10.0,19.0,M,666
