,Subjs,Block,Trial,Cond,Tap,Time,Voltages
0,0,0,0,D1,0,0,540
1,0,0,0,D1,0,1,632
2,0,0,0,D1,0,2,657
3,0,0,0,D1,0,3,662
4,0,0,0,D1,0,4,654
5,0,0,0,D1,0,5,636
6,0,0,0,D1,0,6,594
7,0,0,0,D1,0,7,542
8,0,0,0,D1,0,8,465
9,0,0,0,D1,0,9,392
10,0,0,0,D1,0,10,339
11,0,0,0,D1,0,11,309
12,0,0,0,D1,0,12,286
13,0,0,0,D1,0,13,291
14,0,0,0,D1,0,14,305
15,0,0,0,D1,0,15,330
16,0,0,0,D1,0,16,371
17,0,0,0,D1,0,17,395
18,0,0,0,D1,0,18,413
19,0,0,0,D1,0,19,445
20,0,0,0,D1,0,20,457
21,0,0,0,D1,0,21,476
22,0,0,0,D1,0,22,486
23,0,0,0,D1,0,23,493
24,0,0,0,D1,0,24,493
25,0,0,0,D1,0,25,488
26,0,0,0,D1,0,26,482
27,0,0,0,D1,0,27,474
28,0,0,0,D1,0,28,465
29,0,0,0,D1,0,29,454
30,0,0,0,D1,0,30,452
31,0,0,0,D1,0,31,443
32,0,0,0,D1,0,32,442
33,0,0,0,D1,0,33,443
34,0,0,0,D1,0,34,440
35,0,0,0,D1,0,35,438
36,0,0,0,D1,0,36,439
37,0,0,0,D1,0,37,429
38,0,0,0,D1,0,38,424
39,0,0,0,D1,0,39,412
40,0,0,0,D1,0,40,402
41,0,0,0,D1,0,41,377
42,0,0,0,D1,0,42,366
43,0,0,0,D1,0,43,347
44,0,0,0,D1,0,44,325
45,0,0,0,D1,0,45,306
46,0,0,0,D1,0,46,258
47,0,0,0,D1,0,47,236
48,0,0,0,D1,0,48,223
49,0,0,0,D1,0,49,185
50,0,0,0,D1,0,50,137
51,0,0,0,D1,0,51,94
52,0,0,0,D1,0,52,42
53,0,0,0,D1,0,53,25
54,0,0,0,D1,0,54,0
55,0,0,0,D1,0,55,0
56,0,0,0,D1,0,56,0
57,0,0,0,D1,0,57,0
58,0,0,0,D1,0,58,0
59,0,0,0,D1,0,59,0
60,0,0,0,D1,0,60,0
61,0,0,0,D1,0,61,0
62,0,0,0,D1,0,62,0
63,0,0,0,D1,0,63,0
64,0,0,0,D1,0,64,0
65,0,0,0,D1,0,65,0
66,0,0,0,D1,0,66,0
67,0,0,0,D1,0,67,0
68,0,0,0,D1,0,68,0
69,0,0,0,D1,0,69,0
70,0,0,0,D1,0,70,0
71,0,0,0,D1,0,71,0
72,0,0,0,D1,0,72,0
73,0,0,0,D1,0,73,0
74,0,0,0,D1,0,74,0
75,0,0,0,D1,0,75,0
76,0,0,0,D1,0,76,0
77,0,0,0,D1,0,77,0
78,0,0,0,D1,0,78,0
79,0,0,0,D1,1,0,551
80,0,0,0,D1,1,1,629
81,0,0,0,D1,1,2,696
82,0,0,0,D1,1,3,709
83,0,0,0,D1,1,4,710
84,0,0,0,D1,1,5,701
85,0,0,0,D1,1,6,667
86,0,0,0,D1,1,7,598
87,0,0,0,D1,1,8,520
88,0,0,0,D1,1,9,420
89,0,0,0,D1,1,10,366
90,0,0,0,D1,1,11,349
91,0,0,0,D1,1,12,341
92,0,0,0,D1,1,13,371
93,0,0,0,D1,1,14,385
94,0,0,0,D1,1,15,443
95,0,0,0,D1,1,16,484
96,0,0,0,D1,1,17,515
97,0,0,0,D1,1,18,536
98,0,0,0,D1,1,19,550
99,0,0,0,D1,1,20,567
100,0,0,0,D1,1,21,570
101,0,0,0,D1,1,22,560
102,0,0,0,D1,1,23,552
103,0,0,0,D1,1,24,543
104,0,0,0,D1,1,25,536
105,0,0,0,D1,1,26,529
106,0,0,0,D1,1,27,518
107,0,0,0,D1,1,28,511
108,0,0,0,D1,1,29,507
109,0,0,0,D1,1,30,504
110,0,0,0,D1,1,31,500
111,0,0,0,D1,1,32,500
112,0,0,0,D1,1,33,496
113,0,0,0,D1,1,34,493
114,0,0,0,D1,1,35,489
115,0,0,0,D1,1,36,479
116,0,0,0,D1,1,37,464
117,0,0,0,D1,1,38,451
118,0,0,0,D1,1,39,422
119,0,0,0,D1,1,40,386
120,0,0,0,D1,1,41,374
121,0,0,0,D1,1,42,353
122,0,0,0,D1,1,43,316
123,0,0,0,D1,1,44,291
124,0,0,0,D1,1,45,225
125,0,0,0,D1,1,46,175
126,0,0,0,D1,1,47,96
127,0,0,0,D1,1,48,85
128,0,0,0,D1,1,49,64
129,0,0,0,D1,1,50,0
130,0,0,0,D1,1,51,0
131,0,0,0,D1,1,52,0
132,0,0,0,D1,1,53,0
133,0,0,0,D1,1,54,0
134,0,0,0,D1,1,55,0
135,0,0,0,D1,1,56,0
136,0,0,0,D1,1,57,0
137,0,0,0,D1,1,58,0
138,0,0,0,D1,1,59,0
139,0,0,0,D1,1,60,0
140,0,0,0,D1,1,61,0
141,0,0,0,D1,1,62,0
142,0,0,0,D1,1,63,0
143,0,0,0,D1,1,64,0
144,0,0,0,D1,1,65,0
145,0,0,0,D1,1,66,0
146,0,0,0,D1,1,67,0
147,0,0,0,D1,1,68,0
148,0,0,0,D1,1,69,0
149,0,0,0,D1,1,70,0
150,0,0,0,D1,1,71,0
151,0,0,0,D1,1,72,0
152,0,0,0,D1,1,73,0
153,0,0,0,D1,1,74,0
154,0,0,0,D1,1,75,0
155,0,0,0,D1,1,76,0
156,0,0,0,D1,1,77,0
157,0,0,0,D1,1,78,0
158,0,0,0,D1,2,0,539
159,0,0,0,D1,2,1,660
160,0,0,0,D1,2,2,695
161,0,0,0,D1,2,3,701
162,0,0,0,D1,2,4,697
163,0,0,0,D1,2,5,688
164,0,0,0,D1,2,6,644
165,0,0,0,D1,2,7,590
166,0,0,0,D1,2,8,532
167,0,0,0,D1,2,9,466
168,0,0,0,D1,2,10,416
169,0,0,0,D1,2,11,391
170,0,0,0,D1,2,12,385
171,0,0,0,D1,2,13,388
172,0,0,0,D1,2,14,412
173,0,0,0,D1,2,15,442
174,0,0,0,D1,2,16,470
175,0,0,0,D1,2,17,494
176,0,0,0,D1,2,18,522
177,0,0,0,D1,2,19,540
178,0,0,0,D1,2,20,546
179,0,0,0,D1,2,21,551
180,0,0,0,D1,2,22,551
181,0,0,0,D1,2,23,550
182,0,0,0,D1,2,24,544
183,0,0,0,D1,2,25,540
184,0,0,0,D1,2,26,532
185,0,0,0,D1,2,27,525
186,0,0,0,D1,2,28,522
187,0,0,0,D1,2,29,517
188,0,0,0,D1,2,30,516
189,0,0,0,D1,2,31,512
190,0,0,0,D1,2,32,509
191,0,0,0,D1,2,33,507
192,0,0,0,D1,2,34,510
193,0,0,0,D1,2,35,507
194,0,0,0,D1,2,36,501
195,0,0,0,D1,2,37,494
196,0,0,0,D1,2,38,482
197,0,0,0,D1,2,39,476
198,0,0,0,D1,2,40,463
199,0,0,0,D1,2,41,444
200,0,0,0,D1,2,42,437
201,0,0,0,D1,2,43,414
202,0,0,0,D1,2,44,395
203,0,0,0,D1,2,45,359
204,0,0,0,D1,2,46,341
205,0,0,0,D1,2,47,326
206,0,0,0,D1,2,48,303
207,0,0,0,D1,2,49,272
208,0,0,0,D1,2,50,232
209,0,0,0,D1,2,51,202
210,0,0,0,D1,2,52,184
211,0,0,0,D1,2,53,153
212,0,0,0,D1,2,54,104
213,0,0,0,D1,2,55,47
214,0,0,0,D1,2,56,0
215,0,0,0,D1,2,57,0
216,0,0,0,D1,2,58,0
217,0,0,0,D1,2,59,0
218,0,0,0,D1,2,60,0
219,0,0,0,D1,2,61,0
220,0,0,0,D1,2,62,0
221,0,0,0,D1,2,63,0
222,0,0,0,D1,2,64,0
223,0,0,0,D1,2,65,0
224,0,0,0,D1,2,66,0
225,0,0,0,D1,2,67,0
226,0,0,0,D1,2,68,0
227,0,0,0,D1,2,69,0
228,0,0,0,D1,2,70,0
229,0,0,0,D1,2,71,0
230,0,0,0,D1,2,72,0
231,0,0,0,D1,2,73,0
232,0,0,0,D1,2,74,0
233,0,0,0,D1,2,75,0
234,0,0,0,D1,2,76,0
235,0,0,0,D1,2,77,0
236,0,0,0,D1,2,78,0
237,0,0,0,D1,3,0,552
238,0,0,0,D1,3,1,646
239,0,0,0,D1,3,2,671
240,0,0,0,D1,3,3,672
241,0,0,0,D1,3,4,661
242,0,0,0,D1,3,5,644
243,0,0,0,D1,3,6,605
244,0,0,0,D1,3,7,534
245,0,0,0,D1,3,8,450
246,0,0,0,D1,3,9,368
247,0,0,0,D1,3,10,350
248,0,0,0,D1,3,11,324
249,0,0,0,D1,3,12,326
250,0,0,0,D1,3,13,334
251,0,0,0,D1,3,14,351
252,0,0,0,D1,3,15,368
253,0,0,0,D1,3,16,397
254,0,0,0,D1,3,17,439
255,0,0,0,D1,3,18,466
256,0,0,0,D1,3,19,482
257,0,0,0,D1,3,20,492
258,0,0,0,D1,3,21,505
259,0,0,0,D1,3,22,510
260,0,0,0,D1,3,23,506
261,0,0,0,D1,3,24,501
262,0,0,0,D1,3,25,495
263,0,0,0,D1,3,26,487
264,0,0,0,D1,3,27,482
265,0,0,0,D1,3,28,476
266,0,0,0,D1,3,29,474
267,0,0,0,D1,3,30,477
268,0,0,0,D1,3,31,477
269,0,0,0,D1,3,32,475
270,0,0,0,D1,3,33,478
271,0,0,0,D1,3,34,474
272,0,0,0,D1,3,35,476
273,0,0,0,D1,3,36,475
274,0,0,0,D1,3,37,473
275,0,0,0,D1,3,38,471
276,0,0,0,D1,3,39,470
277,0,0,0,D1,3,40,462
278,0,0,0,D1,3,41,455
279,0,0,0,D1,3,42,444
280,0,0,0,D1,3,43,432
281,0,0,0,D1,3,44,424
282,0,0,0,D1,3,45,402
283,0,0,0,D1,3,46,379
284,0,0,0,D1,3,47,371
285,0,0,0,D1,3,48,361
286,0,0,0,D1,3,49,353
287,0,0,0,D1,3,50,340
288,0,0,0,D1,3,51,316
289,0,0,0,D1,3,52,301
290,0,0,0,D1,3,53,288
291,0,0,0,D1,3,54,263
292,0,0,0,D1,3,55,240
293,0,0,0,D1,3,56,212
294,0,0,0,D1,3,57,188
295,0,0,0,D1,3,58,167
296,0,0,0,D1,3,59,126
297,0,0,0,D1,3,60,101
298,0,0,0,D1,3,61,34
299,0,0,0,D1,3,62,55
300,0,0,0,D1,3,63,41
301,0,0,0,D1,3,64,0
302,0,0,0,D1,3,65,0
303,0,0,0,D1,3,66,0
304,0,0,0,D1,3,67,0
305,0,0,0,D1,3,68,0
306,0,0,0,D1,3,69,0
307,0,0,0,D1,3,70,0
308,0,0,0,D1,3,71,0
309,0,0,0,D1,3,72,0
310,0,0,0,D1,3,73,0
311,0,0,0,D1,3,74,0
312,0,0,0,D1,3,75,0
313,0,0,0,D1,3,76,0
314,0,0,0,D1,3,77,0
315,0,0,0,D1,3,78,0
316,0,0,0,D1,4,0,546
317,0,0,0,D1,4,1,631
318,0,0,0,D1,4,2,652
319,0,0,0,D1,4,3,650
320,0,0,0,D1,4,4,647
321,0,0,0,D1,4,5,632
322,0,0,0,D1,4,6,605
323,0,0,0,D1,4,7,541
324,0,0,0,D1,4,8,475
325,0,0,0,D1,4,9,398
326,0,0,0,D1,4,10,326
327,0,0,0,D1,4,11,308
328,0,0,0,D1,4,12,294
329,0,0,0,D1,4,13,294
330,0,0,0,D1,4,14,300
331,0,0,0,D1,4,15,307
332,0,0,0,D1,4,16,311
333,0,0,0,D1,4,17,352
334,0,0,0,D1,4,18,384
335,0,0,0,D1,4,19,410
