,Subjs,Block,Trial,Cond,tap,p1,p2,Asyns_c,Asyns_p1,Asyns_p2
0,0,0,0,D1,0,3.0,23.0,-1.0,2.0,22.0
1,0,0,0,D1,1,4.0,21.0,-7.0,-3.0,14.0
2,0,0,0,D1,2,3.0,21.0,-22.0,-19.0,-1.0
3,0,0,0,D1,3,3.0,22.0,-18.0,-15.0,4.0
4,0,0,0,D1,4,2.0,26.0,-12.0,-10.0,14.0
5,0,0,0,D1,5,2.0,24.0,-7.0,-5.0,17.0
6,0,0,0,D1,6,3.0,24.0,10.0,13.0,34.0
7,0,0,0,D1,7,3.0,23.0,5.0,8.0,28.0
8,0,0,0,D1,8,3.0,22.0,4.0,7.0,26.0
9,0,0,0,D1,9,4.0,23.0,-0.0,4.0,23.0
10,0,0,0,D1,10,3.0,25.0,13.0,16.0,38.0
11,0,0,0,D1,11,2.0,25.0,27.0,29.0,52.0
12,0,0,0,D1,12,3.0,24.0,-0.0,3.0,24.0
13,0,0,0,D1,13,3.0,24.0,4.0,7.0,28.0
14,0,0,0,D1,14,3.0,27.0,-26.0,-23.0,1.0
15,0,0,0,D1,15,3.0,24.0,-19.0,-16.0,5.0
16,0,0,0,D1,16,3.0,24.0,-23.0,-20.0,1.0
17,0,0,0,D1,17,4.0,23.0,-43.0,-39.0,-20.0
18,0,0,0,D1,18,4.0,13.0,-57.0,-53.0,-44.0
19,0,0,1,D1,0,3.0,22.0,12.0,15.0,34.0
20,0,0,1,D1,1,3.0,22.0,25.0,28.0,47.0
21,0,0,1,D1,2,2.0,21.0,2.0,4.0,23.0
22,0,0,1,D1,3,3.0,23.0,3.0,6.0,26.0
23,0,0,1,D1,4,3.0,23.0,-0.0,3.0,23.0
24,0,0,1,D1,5,3.0,25.0,-12.0,-9.0,13.0
25,0,0,1,D1,6,3.0,27.0,-32.0,-29.0,-5.0
26,0,0,1,D1,7,2.0,26.0,-24.0,-22.0,2.0
27,0,0,1,D1,8,3.0,21.0,-30.0,-27.0,-9.0
28,0,0,1,D1,9,3.0,22.0,6.0,9.0,28.0
